Date,Open,High,Low,Close,Adj Close,Volume
07-08-2017,169.949997,172.059998,169.660004,171.979996,171.979996,12787800
08-08-2017,171.880005,173.050003,170.619995,171.229996,171.229996,14393500
09-08-2017,169.979996,171.449997,169.559998,171.179993,171.179993,10815000
10-08-2017,170.059998,170.589996,166.850006,167.399994,167.399994,20832700
11-08-2017,167.949997,168.820007,166.850006,168.080002,168.080002,13791200
14-08-2017,170.089996,171.080002,169.289993,170.75,170.75,12954200
15-08-2017,171.490005,171.5,170.009995,171,171,8729200
16-08-2017,171.25,171.380005,169.240005,170,170,15779900
17-08-2017,169.339996,169.860001,166.850006,166.910004,166.910004,17216000
18-08-2017,166.839996,168.669998,166.210007,167.410004,167.410004,15093600
21-08-2017,167.160004,168,165.820007,167.779999,167.779999,11907500
22-08-2017,168.279999,169.869995,167.149994,169.639999,169.639999,11391000
23-08-2017,168.839996,169.360001,168.199997,168.710007,168.710007,9856500
24-08-2017,168.880005,169.289993,166.410004,167.740005,167.740005,14030400
25-08-2017,167.860001,168.380005,166.179993,166.320007,166.320007,12614500
28-08-2017,166.910004,167.699997,166.330002,167.240005,167.240005,8553700
29-08-2017,165.25,168.429993,165,168.050003,168.050003,11121000
30-08-2017,168.169998,170.179993,167.630005,169.919998,169.919998,11138300
31-08-2017,170.399994,172.149994,170.059998,171.970001,171.970001,17226500
01-09-2017,172.399994,172.919998,171.309998,172.020004,172.020004,11677600
05-09-2017,171.270004,172.389999,169.550003,170.720001,170.720001,13210900
06-09-2017,170.910004,172.479996,169.570007,172.089996,172.089996,13906300
07-09-2017,171.940002,173.309998,170.270004,173.210007,173.210007,18049500
08-09-2017,173.089996,173.490005,170.800003,170.949997,170.949997,10998500
11-09-2017,172.399994,173.889999,172.199997,173.509995,173.509995,12372000
12-09-2017,173.759995,174,171.75,172.960007,172.960007,11186300
13-09-2017,173.009995,173.169998,172.059998,173.050003,173.050003,9119300
14-09-2017,172.259995,172.279999,170.5,170.960007,170.960007,15615700
15-09-2017,170.880005,172.339996,170.259995,171.639999,171.639999,15660500
18-09-2017,171.990005,172.070007,169.339996,170.009995,170.009995,12954000
19-09-2017,170.619995,172.559998,170.360001,172.520004,172.520004,13168600
20-09-2017,172.5,173.050003,170.699997,172.169998,172.169998,12264100
21-09-2017,171.690002,172.270004,170.009995,171.110001,171.110001,11161400
22-09-2017,170.210007,171.729996,169.220001,170.539993,170.539993,12097100
25-09-2017,169.240005,169.300003,161.559998,162.869995,162.869995,41251600
26-09-2017,164.5,165.5,162.779999,164.210007,164.210007,23363300
27-09-2017,165.899994,168.339996,165.570007,167.679993,167.679993,19242500
28-09-2017,167.940002,169.070007,167.160004,168.729996,168.729996,12178700
29-09-2017,168.830002,171.660004,168.809998,170.869995,170.869995,15340400
02-10-2017,171.389999,171.869995,168.75,169.470001,169.470001,13392300
03-10-2017,169.300003,170.729996,169.199997,169.960007,169.960007,8190300
04-10-2017,169.830002,170.669998,168.289993,168.419998,168.419998,12127900
05-10-2017,169.179993,171.309998,168.600006,171.240005,171.240005,14580600
06-10-2017,170.25,172.369995,169.75,172.229996,172.229996,13124500
09-10-2017,172.699997,174.880005,172,172.5,172.5,14570400
10-10-2017,173,173.199997,170.800003,171.589996,171.589996,11341100
11-10-2017,171.949997,172.779999,171.399994,172.740005,172.740005,11283700
12-10-2017,172.610001,173.850006,172.289993,172.550003,172.550003,10351000
13-10-2017,173.449997,174.649994,173.199997,173.740005,173.740005,13658300
16-10-2017,174.490005,175,174.059998,174.520004,174.520004,11498800
17-10-2017,174.710007,176.130005,174.360001,176.110001,176.110001,15990100
18-10-2017,176.649994,176.740005,175.75,176.029999,176.029999,12752400
19-10-2017,174.929993,176.029999,172.630005,174.559998,174.559998,14048400
20-10-2017,175.5,175.880005,174.630005,174.979996,174.979996,12602200
23-10-2017,175.199997,175.339996,171.25,171.270004,171.270004,13852700
24-10-2017,172.300003,173.240005,171.5,171.800003,171.800003,12267900
25-10-2017,171.899994,172.25,168.889999,170.600006,170.600006,15868200
26-10-2017,171.380005,172.289993,170.389999,170.630005,170.630005,11833100
27-10-2017,174.149994,178.210007,173.899994,177.880005,177.880005,30285300
30-10-2017,179.259995,180.690002,177.610001,179.869995,179.869995,24353200
31-10-2017,180.570007,180.800003,178.940002,180.059998,180.059998,20174200
01-11-2017,182.360001,182.899994,180.570007,182.660004,182.660004,40918300
02-11-2017,180.630005,181.940002,177.339996,178.919998,178.919998,35529900
03-11-2017,179.289993,179.860001,176.710007,178.919998,178.919998,17822100
06-11-2017,178.559998,180.449997,178.309998,180.169998,180.169998,13312700
07-11-2017,180.5,180.75,178.960007,180.25,180.25,12928200
08-11-2017,179.789993,180.350006,179.110001,179.559998,179.559998,10494100
09-11-2017,178.309998,179.399994,177.089996,179.300003,179.300003,12610300
10-11-2017,178.350006,179.100006,177.960007,178.460007,178.460007,11070200
13-11-2017,177.5,179.039993,177.300003,178.770004,178.770004,9523400
14-11-2017,178.130005,178.970001,177.179993,178.070007,178.070007,9585900
15-11-2017,176.660004,178.570007,176.399994,177.949997,177.949997,10253700
16-11-2017,178.759995,179.830002,178.5,179.589996,179.589996,15607600
17-11-2017,179.300003,179.979996,178.899994,179,179,13018000
20-11-2017,178.869995,179.5,178.100006,178.740005,178.740005,10052400
21-11-2017,179.149994,181.889999,178.990005,181.860001,181.860001,14504000
22-11-2017,181.300003,181.729996,180.440002,180.869995,180.869995,10376300
24-11-2017,180.399994,183.149994,180.289993,182.779999,182.779999,9426300
27-11-2017,182.559998,183.729996,181.990005,183.029999,183.029999,12344500
28-11-2017,183.509995,184.25,182.089996,182.419998,182.419998,14379700
29-11-2017,181.889999,181.970001,174,175.130005,175.130005,41933500
30-11-2017,176.850006,178.279999,175.199997,177.179993,177.179993,25307600
01-12-2017,176.029999,177.479996,172.339996,175.100006,175.100006,20182500
04-12-2017,176.289993,176.570007,170.789993,171.470001,171.470001,24459400
05-12-2017,170.449997,175.380005,169.009995,172.830002,172.830002,20184900
06-12-2017,172.5,176.770004,171.899994,176.059998,176.059998,20255800
07-12-2017,175.800003,180.389999,175.800003,180.139999,180.139999,20404500
08-12-2017,181.529999,182.279999,178.740005,179,179,19883800
11-12-2017,179.300003,180.220001,178.800003,179.039993,179.039993,13168600
12-12-2017,178.600006,179.179993,176.600006,176.960007,176.960007,16854100
13-12-2017,177.300003,179.160004,177.25,178.300003,178.300003,14615700
14-12-2017,178.289993,180.360001,177.679993,178.389999,178.389999,13591000
15-12-2017,179.020004,180.490005,178.360001,180.179993,180.179993,28463100
18-12-2017,181.009995,181.300003,179.75,180.820007,180.820007,17265400
19-12-2017,179.949997,180.080002,178.220001,179.509995,179.509995,14920600
20-12-2017,179.809998,179.809998,177.360001,177.889999,177.889999,11860500
21-12-2017,177.940002,178.679993,177.050003,177.449997,177.449997,11600700
22-12-2017,177.139999,177.529999,176.229996,177.199997,177.199997,8509500
26-12-2017,176.630005,177,174.669998,175.990005,175.990005,8897300
27-12-2017,176.550003,178.440002,176.259995,177.619995,177.619995,9496100
28-12-2017,177.949997,178.940002,177.679993,177.919998,177.919998,12220800
29-12-2017,178,178.850006,176.460007,176.460007,176.460007,10261500
02-01-2018,177.679993,181.580002,177.550003,181.419998,181.419998,18151900
03-01-2018,181.880005,184.779999,181.330002,184.669998,184.669998,16886600
04-01-2018,184.899994,186.210007,184.100006,184.330002,184.330002,13880900
05-01-2018,185.589996,186.899994,184.929993,186.850006,186.850006,13574500
08-01-2018,187.199997,188.899994,186.330002,188.279999,188.279999,17994700
09-01-2018,188.699997,188.800003,187.100006,187.869995,187.869995,12393100
10-01-2018,186.940002,187.889999,185.630005,187.839996,187.839996,10529900
11-01-2018,188.399994,188.399994,187.380005,187.770004,187.770004,9588600
12-01-2018,178.059998,181.479996,177.399994,179.369995,179.369995,77551300
16-01-2018,181.5,181.75,178.039993,178.389999,178.389999,36183800
17-01-2018,179.259995,179.320007,175.800003,177.600006,177.600006,27992400
18-01-2018,178.130005,180.979996,177.080002,179.800003,179.800003,23304900
19-01-2018,180.850006,182.369995,180.169998,181.289993,181.289993,26826500
22-01-2018,180.800003,185.389999,180.410004,185.369995,185.369995,21059500
23-01-2018,186.050003,189.550003,185.550003,189.350006,189.350006,25678800
24-01-2018,189.889999,190.660004,186.520004,186.550003,186.550003,24334500
25-01-2018,187.949997,188.619995,186.600006,187.479996,187.479996,17377700
26-01-2018,187.75,190,186.809998,190,190,17759200
29-01-2018,188.75,188.839996,185.630005,185.979996,185.979996,20453200
30-01-2018,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
31-01-2018,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
01-02-2018,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
02-02-2018,192.039993,194.210007,189.979996,190.279999,190.279999,26677500
05-02-2018,186.929993,190.610001,180.610001,181.259995,181.259995,33128200
06-02-2018,178.570007,185.770004,177.740005,185.309998,185.309998,37758500
07-02-2018,184.149994,185.080002,179.949997,180.179993,180.179993,27601900
08-02-2018,181.009995,181.839996,171.479996,171.580002,171.580002,38478300
09-02-2018,174.759995,176.899994,167.179993,176.110001,176.110001,39887600
12-02-2018,177.059998,177.550003,171.839996,176.410004,176.410004,32092100
13-02-2018,175.619995,175.970001,173.100006,173.149994,173.149994,21809400
14-02-2018,173.449997,179.809998,173.210007,179.520004,179.520004,28929700
15-02-2018,180.5,180.5,176.839996,179.960007,179.960007,20922100
16-02-2018,178.990005,179.880005,176.300003,177.360001,177.360001,20645300
20-02-2018,175.770004,177.949997,175.110001,176.009995,176.009995,21204900
21-02-2018,176.710007,181.270004,176.399994,177.910004,177.910004,23200800
22-02-2018,178.699997,180.210007,177.410004,178.990005,178.990005,18464200
23-02-2018,179.899994,183.389999,179.509995,183.289993,183.289993,19007300
26-02-2018,184.580002,185.660004,183.220001,184.929993,184.929993,17599700
27-02-2018,184.449997,184.699997,181.460007,181.460007,181.460007,15849800
28-02-2018,182.300003,182.880005,178.139999,178.320007,178.320007,18783000
01-03-2018,179.009995,180.119995,174.410004,175.940002,175.940002,23201600
02-03-2018,173.289993,177.110001,172.990005,176.619995,176.619995,20025900
05-03-2018,176.199997,181.149994,175.889999,180.399994,180.399994,16189300
06-03-2018,181.779999,182.380005,179.110001,179.779999,179.779999,15086800
07-03-2018,178.740005,183.820007,178.070007,183.710007,183.710007,19097300
08-03-2018,183.559998,184.399994,181.449997,182.339996,182.339996,17225900
09-03-2018,183.910004,185.509995,183.210007,185.229996,185.229996,18526300
12-03-2018,185.229996,186.100006,184.220001,184.759995,184.759995,15301200
13-03-2018,185.610001,185.990005,181.110001,181.880005,181.880005,18067500
14-03-2018,182.600006,184.25,181.850006,184.190002,184.190002,16821700
15-03-2018,183.240005,184,182.190002,183.860001,183.860001,15614300
16-03-2018,184.490005,185.330002,183.410004,185.089996,185.089996,24403400
19-03-2018,177.009995,177.169998,170.059998,172.559998,172.559998,88140100
20-03-2018,167.470001,170.199997,161.949997,168.149994,168.149994,129851800
21-03-2018,164.800003,173.399994,163.300003,169.389999,169.389999,106598800
22-03-2018,166.130005,170.270004,163.720001,164.889999,164.889999,73743000
23-03-2018,165.440002,166.600006,159.020004,159.389999,159.389999,53609700
26-03-2018,160.820007,161.100006,149.020004,160.059998,160.059998,126116600
27-03-2018,156.309998,162.850006,150.75,152.220001,152.220001,79117000
28-03-2018,151.649994,155.880005,150.800003,153.029999,153.029999,60029200
29-03-2018,155.149994,161.419998,154.139999,159.789993,159.789993,59434300
02-04-2018,157.809998,159.199997,154.110001,155.389999,155.389999,36796000
03-04-2018,156.550003,157.389999,150.809998,156.110001,156.110001,42543900
04-04-2018,152.029999,155.559998,150.509995,155.100006,155.100006,49885600
05-04-2018,161.559998,161.570007,156.649994,159.339996,159.339996,41449600
06-04-2018,157.729996,161.419998,156.809998,157.199997,157.199997,41644800
09-04-2018,157.820007,160.529999,156.039993,157.929993,157.929993,34915200
10-04-2018,157.929993,165.979996,157.009995,165.039993,165.039993,57889300
11-04-2018,165.360001,168.649994,163.25,166.320007,166.320007,56144600
12-04-2018,166.979996,167.449997,163.100006,163.869995,163.869995,38263000
13-04-2018,164.580002,165.699997,163.770004,164.520004,164.520004,19990600
16-04-2018,165.720001,165.779999,163.389999,164.830002,164.830002,18119400
17-04-2018,165.830002,169,165.660004,168.660004,168.660004,22743000
18-04-2018,166.880005,168.119995,165.770004,166.360001,166.360001,20969600
19-04-2018,166.199997,168.330002,165.199997,168.100006,168.100006,22235000
20-04-2018,167.789993,168.429993,165.809998,166.279999,166.279999,19119400
23-04-2018,167.270004,168.449997,165.089996,165.839996,165.839996,23088100
24-04-2018,165.429993,166.100006,158.190002,159.690002,159.690002,35079900
25-04-2018,160.139999,161.059998,156.190002,159.690002,159.690002,41083600
26-04-2018,173.220001,176.270004,170.800003,174.160004,174.160004,77556900
27-04-2018,176.809998,177.100006,172.600006,173.589996,173.589996,29804700
30-04-2018,173.789993,175.720001,171.710007,172,172,20750500
01-05-2018,172,174.020004,170.229996,173.860001,173.860001,26025900
02-05-2018,174.25,178.080002,174.199997,176.070007,176.070007,30424500
03-05-2018,175.130005,176.119995,172.119995,174.020004,174.020004,24026100
04-05-2018,173.080002,176.979996,173.059998,176.610001,176.610001,17677800
07-05-2018,177.350006,179.5,177.169998,177.970001,177.970001,18697200
08-05-2018,178.25,179.039993,177.110001,178.919998,178.919998,15577200
09-05-2018,179.669998,183.009995,178.779999,182.660004,182.660004,23282800
10-05-2018,183.149994,186.130005,182.5,185.529999,185.529999,21071400
11-05-2018,184.850006,188.320007,184.179993,186.990005,186.990005,21207800
14-05-2018,187.710007,187.860001,186.199997,186.639999,186.639999,15646700
15-05-2018,184.880005,185.289993,183.199997,184.320007,184.320007,15429400
16-05-2018,183.699997,184.320007,182.660004,183.199997,183.199997,16975500
17-05-2018,182.679993,184.059998,182.220001,183.759995,183.759995,14840700
18-05-2018,183.490005,184.190002,182.610001,182.679993,182.679993,13130500
21-05-2018,183.770004,185.300003,183.130005,184.490005,184.490005,13532900
22-05-2018,184.929993,185.419998,183.429993,183.800003,183.800003,12731400
23-05-2018,182.5,186.910004,182.179993,186.899994,186.899994,16628100
24-05-2018,185.880005,186.800003,185.029999,185.929993,185.929993,12354700
25-05-2018,186.020004,186.330002,184.449997,184.919998,184.919998,10965100
29-05-2018,184.339996,186.809998,183.710007,185.740005,185.740005,16398900
30-05-2018,186.539993,188,185.25,187.669998,187.669998,13736900
31-05-2018,187.869995,192.720001,187.479996,191.779999,191.779999,30782600
01-06-2018,193.070007,194.550003,192.070007,193.990005,193.990005,17307200
04-06-2018,191.839996,193.979996,191.470001,193.279999,193.279999,18939800
05-06-2018,194.300003,195,192.619995,192.940002,192.940002,15544300
06-06-2018,191.029999,192.529999,189.110001,191.339996,191.339996,22558900
07-06-2018,190.75,190.970001,186.770004,188.179993,188.179993,21503200
08-06-2018,187.529999,189.479996,186.429993,189.100006,189.100006,12677100
11-06-2018,188.809998,192.600006,188.800003,191.539993,191.539993,12928900
12-06-2018,192.169998,193.279999,191.559998,192.399994,192.399994,11562700
13-06-2018,192.740005,194.5,191.910004,192.410004,192.410004,15853800
14-06-2018,193.100006,197.279999,192.910004,196.809998,196.809998,19120900
15-06-2018,195.789993,197.070007,194.639999,195.850006,195.850006,21860900
18-06-2018,194.800003,199.580002,194.130005,198.309998,198.309998,16826000
19-06-2018,196.240005,197.960007,193.789993,197.490005,197.490005,19994000
20-06-2018,199.100006,203.550003,198.809998,202,202,28230900
21-06-2018,202.759995,203.389999,200.089996,201.5,201.5,19045700
22-06-2018,201.160004,202.240005,199.309998,201.740005,201.740005,17420200
25-06-2018,200,200,193.110001,196.350006,196.350006,25275100
26-06-2018,197.600006,199.100006,196.229996,199,199,17897600
27-06-2018,199.179993,200.75,195.800003,195.839996,195.839996,18734400
28-06-2018,195.179993,197.339996,193.259995,196.229996,196.229996,18172400
29-06-2018,197.320007,197.600006,193.960007,194.320007,194.320007,15811600
02-07-2018,193.369995,197.449997,192.220001,197.360001,197.360001,13961600
03-07-2018,194.550003,195.399994,192.520004,192.729996,192.729996,13489500
05-07-2018,194.740005,198.649994,194.029999,198.449997,198.449997,19684200
06-07-2018,198.449997,203.639999,197.699997,203.229996,203.229996,19740100
09-07-2018,204.929993,205.800003,202.119995,204.740005,204.740005,18149400
10-07-2018,204.5,204.910004,202.259995,203.539993,203.539993,13190100
11-07-2018,202.220001,204.5,201.75,202.539993,202.539993,12927400
12-07-2018,203.429993,207.080002,203.190002,206.919998,206.919998,15454700
13-07-2018,207.809998,208.429993,206.449997,207.320007,207.320007,11486800
16-07-2018,207.5,208.720001,206.839996,207.229996,207.229996,11078200
17-07-2018,204.899994,210.460007,204.839996,209.990005,209.990005,15349900
18-07-2018,209.820007,210.990005,208.440002,209.360001,209.360001,15334900
19-07-2018,208.770004,209.990005,207.759995,208.089996,208.089996,11350400
20-07-2018,208.850006,211.5,208.5,209.940002,209.940002,16163900
23-07-2018,210.580002,211.619995,208.800003,210.910004,210.910004,16732000
24-07-2018,215.110001,216.199997,212.600006,214.669998,214.669998,28468700
25-07-2018,215.720001,218.619995,214.270004,217.5,217.5,58954200
26-07-2018,174.889999,180.130005,173.75,176.259995,176.259995,169803700
27-07-2018,179.869995,179.929993,173,174.889999,174.889999,60073700
30-07-2018,175.300003,175.300003,166.559998,171.059998,171.059998,65280800
31-07-2018,170.669998,174.240005,170,172.580002,172.580002,40356500
01-08-2018,173.929993,175.080002,170.899994,171.649994,171.649994,34042100
02-08-2018,170.679993,176.789993,170.270004,176.369995,176.369995,32400000
03-08-2018,177.690002,178.850006,176.149994,177.779999,177.779999,24763400
06-08-2018,178.970001,185.789993,178.380005,185.690002,185.690002,49716200
07-08-2018,186.5,188.300003,183.720001,183.809998,183.809998,33398600
08-08-2018,184.75,186.850006,183.759995,185.179993,185.179993,22205200
09-08-2018,185.850006,186.570007,182.479996,183.089996,183.089996,19732100
10-08-2018,182.039993,182.100006,179.419998,180.259995,180.259995,21500400
13-08-2018,180.100006,182.610001,178.899994,180.050003,180.050003,17423300
14-08-2018,180.710007,181.990005,178.619995,181.110001,181.110001,19102000
15-08-2018,179.339996,180.869995,174.779999,179.529999,179.529999,33020200
16-08-2018,180.419998,180.5,174.009995,174.699997,174.699997,31351800
17-08-2018,174.5,176.220001,172.039993,173.800003,173.800003,24893200
20-08-2018,174.039993,174.570007,170.910004,172.5,172.5,21518000
21-08-2018,172.809998,174.169998,171.389999,172.619995,172.619995,19578500
22-08-2018,172.210007,174.240005,172.130005,173.639999,173.639999,16894100
23-08-2018,173.089996,175.550003,172.830002,172.899994,172.899994,18053600
24-08-2018,173.699997,174.820007,172.919998,174.649994,174.649994,14631600
27-08-2018,175.990005,178.669998,175.789993,177.460007,177.460007,17921900
28-08-2018,178.100006,178.240005,175.830002,176.259995,176.259995,15910700
29-08-2018,176.300003,176.789993,174.75,175.899994,175.899994,18494100
30-08-2018,175.899994,179.789993,175.699997,177.639999,177.639999,24216500
31-08-2018,177.149994,177.619995,174.979996,175.729996,175.729996,18065200
04-09-2018,173.5,173.889999,168.800003,171.160004,171.160004,29809000
05-09-2018,169.490005,171.130005,166.669998,167.179993,167.179993,31226700
06-09-2018,166.979996,166.979996,160,162.529999,162.529999,41514800
07-09-2018,160.309998,164.630005,160.160004,163.039993,163.039993,24300600
10-09-2018,163.509995,165.009995,162.160004,164.179993,164.179993,20197700
11-09-2018,163.940002,167.190002,163.720001,165.940002,165.940002,20457100
12-09-2018,163.25,164.490005,161.800003,162,162,24078100
13-09-2018,162,163.320007,160.860001,161.360001,161.360001,25453800
14-09-2018,161.720001,162.839996,160.339996,162.320007,162.320007,21770400
17-09-2018,161.919998,162.059998,159.770004,160.580002,160.580002,21005300
18-09-2018,159.389999,161.759995,158.869995,160.300003,160.300003,22465200
19-09-2018,160.080002,163.440002,159.479996,163.059998,163.059998,19629000
20-09-2018,164.5,166.449997,164.470001,166.020004,166.020004,18936000
21-09-2018,166.639999,167.25,162.809998,162.929993,162.929993,45994800
24-09-2018,161.029999,165.699997,160.880005,165.410004,165.410004,19222800
25-09-2018,161.990005,165.589996,161.149994,164.910004,164.910004,27622800
26-09-2018,164.300003,169.300003,164.210007,166.949997,166.949997,25252200
27-09-2018,167.550003,171.770004,167.210007,168.839996,168.839996,27266900
28-09-2018,168.330002,168.789993,162.559998,164.460007,164.460007,34265600
01-10-2018,163.029999,165.880005,161.259995,162.440002,162.440002,26407700
02-10-2018,161.580002,162.279999,158.669998,159.330002,159.330002,36031000
03-10-2018,160,163.660004,159.529999,162.429993,162.429993,23109500
04-10-2018,161.460007,161.460007,157.350006,158.850006,158.850006,25739600
05-10-2018,159.210007,160.899994,156.199997,157.330002,157.330002,25744000
08-10-2018,155.539993,158.339996,154.389999,157.25,157.25,24046000
09-10-2018,157.690002,160.589996,157.419998,157.899994,157.899994,18844400
10-10-2018,156.820007,157.690002,151.309998,151.380005,151.380005,30610000
11-10-2018,150.130005,154.809998,149.160004,153.350006,153.350006,35338900
12-10-2018,156.729996,156.889999,151.300003,153.740005,153.740005,25293500
15-10-2018,153.320007,155.570007,152.550003,153.520004,153.520004,15433500
16-10-2018,155.399994,159.460007,155.009995,158.779999,158.779999,19180100
17-10-2018,159.559998,160.490005,157.949997,159.419998,159.419998,17592000
18-10-2018,158.509995,158.660004,153.279999,154.919998,154.919998,21675100
19-10-2018,155.860001,157.350006,153.550003,154.050003,154.050003,19761300
22-10-2018,154.759995,157.339996,154.460007,154.779999,154.779999,15424700
23-10-2018,151.220001,154.770004,150.850006,154.389999,154.389999,19095000
24-10-2018,154.279999,154.649994,145.600006,146.039993,146.039993,27744600
25-10-2018,147.729996,152.210007,147,150.949997,150.949997,22105700
26-10-2018,145.820007,149,143.800003,145.369995,145.369995,31303300
29-10-2018,148.5,148.830002,139.029999,142.089996,142.089996,31336800
30-10-2018,139.940002,146.639999,139.740005,146.220001,146.220001,50528300
31-10-2018,155,156.399994,148.960007,151.789993,151.789993,60101300
